id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
246,E010 - CAPATACES Y AISTENTES,true,E010,CAPATACES Y AISTENTES,1.87,,0,0,0,
247,E015 - CORTE DE CAÑA SEMILLA,true,E015,CORTE DE CAÑA SEMILLA,1.87,,0,0,0,
248,E018 - RONDAS,true,E018,RONDAS,1.87,,0,0,0,
249,E019 - DESPUNTADOR,true,E019,DESPUNTADOR,1.87,,0,0,0,
250,E02 - ACARREO DE AGUA PARA FUMIGAR,true,E02,ACARREO DE AGUA PARA FUMIGAR,1.87,,0,0,0,
251,E028 - REQUEMA,true,E028,REQUEMA,1.87,,0,0,0,
252,E029 - MANCHADORES,true,E029,MANCHADORES,1.87,,0,0,0,
253,E03 - ACARREO DE ALCOHOL,true,E03,ACARREO DE ALCOHOL,1.87,,0,0,0,
254,E036 - PINERO,true,E036,PINERO,1.87,,0,0,0,
255,E037 - RECOJO Y REPICA DE CAÑA,true,E037,RECOJO Y REPICA DE CAÑA,1.87,,0,0,0,
256,E038 - RECOJO DE PIEDRAS,true,E038,RECOJO DE PIEDRAS,1.87,,0,0,0,
257,E04 - TRATAMIENTO DE SEMILLA,true,E04,TRATAMIENTO DE SEMILLA,1.87,,0,0,0,
258,E040 - REPARTO DE AGUA A TRABAJADORES,true,E040,REPARTO DE AGUA A TRABAJADORES,1.87,,0,0,0,
259,E041 - RESIEMBRA,true,E041,RESIEMBRA,1.87,,0,0,0,
260,E042 - RIEGO DE AGUA CAMINOS,true,E042,RIEGO DE AGUA CAMINOS,1.87,,0,0,0,
261,E043 - RIEGO POR ASPERSION,true,E043,RIEGO POR ASPERSION,1.87,,0,0,0,
262,E044 - RIEGO POR GRAVEDAD,true,E044,RIEGO POR GRAVEDAD,1.87,,0,0,0,
263,E046 - SERENO DE EQUIPO,true,E046,SERENO DE EQUIPO,1.87,,0,0,0,
264,E048 - TOMADOR DE TIEMPO,true,E048,TOMADOR DE TIEMPO,1.87,,0,0,0,
265,E049 - TRANSPORTE DE TUBERIAS,true,E049,TRANSPORTE DE TUBERIAS,1.87,,0,0,0,
266,E05 - ACARREO DE AZUCAR CRISTAL,true,E05,ACARREO DE AZUCAR CRISTAL,1.87,,0,0,0,
267,E050 - VIGILANCIAS DE FINCAS,true,E050,VIGILANCIAS DE FINCAS,1.87,,0,0,0,
268,E051 - LIBERACION DE COTESIAS,true,E051,LIBERACION DE COTESIAS,1.87,,0,0,0,
269,E06 - ACARREO DE AZUCAR MORENA,true,E06,ACARREO DE AZUCAR MORENA,1.87,,0,0,0,
270,E064 - DESPACHDORES,true,E064,DESPACHDORES,1.87,,0,0,0,
271,E069 - OTRAS LABORES,true,E069,OTRAS LABORES,1.87,,0,0,0,
272,E07 - ACARREO DE AZUCAR IMPORTADA,true,E07,ACARREO DE AZUCAR IMPORTADA,1.87,,0,0,0,
273,E070 - SEGUNDA LABOR,true,E070,SEGUNDA LABOR,1.87,,0,0,0,
274,E08 - TRANSPORTE DE CACHAZA,true,E08,TRANSPORTE DE CACHAZA,1.87,,0,0,0,
275,E09 - BOTAR DESECHO,true,E09,BOTAR DESECHO,1.87,,0,0,0,
276,E10 - TRANSPORTE DE MELAZA,true,E10,TRANSPORTE DE MELAZA,1.87,,0,0,0,
277,E11 - TRANSPORTE DE RIPIO,true,E11,TRANSPORTE DE RIPIO,1.87,,0,0,0,
278,E12 - TRANSPORTE DE TIERRA,true,E12,TRANSPORTE DE TIERRA,1.87,,0,0,0,
279,E13 - ALCE DE CAÑA,true,E13,ALCE DE CAÑA,1.87,,0,0,0,
280,E15 - ALCE DE BAGAZO,true,E15,ALCE DE BAGAZO,1.87,,0,0,0,
281,E16 - ALCE MATERIALES Y PIEZAS,true,E16,ALCE MATERIALES Y PIEZAS,1.87,,0,0,0,
282,E19 - ENCALADO,true,E19,ENCALADO,1.87,,0,0,0,
283,E20 - APORQUE,true,E20,APORQUE,1.87,,0,0,0,
284,E21 - ARADURA,true,E21,ARADURA,1.87,,0,0,0,
285,E22 - AUXILIO DE EQUIPO,true,E22,AUXILIO DE EQUIPO,1.87,,0,0,0,
286,E23 - ALCE Y DESCARGA SEMILLA,true,E23,ALCE Y DESCARGA SEMILLA,1.87,,0,0,0,
287,E24 - APLICACION DE ABONO,true,E24,APLICACION DE ABONO,1.87,,0,0,0,
288,E25 - BOTANDO BAGAZO,true,E25,BOTANDO BAGAZO,1.87,,0,0,0,
289,E26 - CALLES O RONDA,true,E26,CALLES O RONDA,1.87,,0,0,0,
290,E27 - CAMINOS TRANSITORIOS,true,E27,CAMINOS TRANSITORIOS,1.87,,0,0,0,
291,E28 - CHAPEO,true,E28,CHAPEO,1.87,,0,0,0,
292,E29 - CONSTRUCCION DE CANALES,true,E29,CONSTRUCCION DE CANALES,1.87,,0,0,0,
293,E30 - CONSTRUCCION DE DIQUES,true,E30,CONSTRUCCION DE DIQUES,1.87,,0,0,0,
294,E31 - CORTE MECANICO DE CAÑA,true,E31,CORTE MECANICO DE CAÑA,1.87,,0,0,0,
295,E32 - CORTE Y ALCE MECANICO,true,E32,CORTE Y ALCE MECANICO,1.87,,0,0,0,
296,E33 - DESMONTE,true,E33,DESMONTE,1.87,,0,0,0,
297,E34 - DESTRONQUE,true,E34,DESTRONQUE,1.87,,0,0,0,
298,E35 - DRENAJE,true,E35,DRENAJE,1.87,,0,0,0,
299,E36 - FUMIGACION,true,E36,FUMIGACION,1.87,,0,0,0,
300,E37 - NIVELACION,true,E37,NIVELACION,1.87,,0,0,0,
301,E38 - PARCELACION,true,E38,PARCELACION,1.87,,0,0,0,
302,E39 - RASTRADURA,true,E39,RASTRADURA,1.87,,0,0,0,
303,E41 - PREVENCION DE INCENDIO,true,E41,PREVENCION DE INCENDIO,1.87,,0,0,0,
304,E42 - RECONSTRUCCION DE CRUCEROS,true,E42,RECONSTRUCCION DE CRUCEROS,1.87,,0,0,0,
305,E43 - RELLENOS,true,E43,RELLENOS,1.87,,0,0,0,
306,E44 - REPARTO DE AGUA,true,E44,REPARTO DE AGUA,1.87,,0,0,0,
307,E45 - REPARTO DE COMBUSTIBLE,true,E45,REPARTO DE COMBUSTIBLE,1.87,,0,0,0,
308,E46 - RIEGO POR ASPERCION,true,E46,RIEGO POR ASPERCION,1.87,,0,0,0,
309,E47 - RIEGO POR GRAVEDAD,true,E47,RIEGO POR GRAVEDAD,1.87,,0,0,0,
310,E48 - ROTURACION DE CEPA,true,E48,ROTURACION DE CEPA,1.87,,0,0,0,
311,E49 - PAQUETES DE SEMILLA,true,E49,PAQUETES DE SEMILLA,1.87,,0,0,0,
312,E50 - SIEMBRA SEMI-MECANICA,true,E50,SIEMBRA SEMI-MECANICA,1.87,,0,0,0,
313,E51 - SUBSOLADURA,true,E51,SUBSOLADURA,1.87,,0,0,0,
314,E52 - SURCADURA,true,E52,SURCADURA,1.87,,0,0,0,
315,E53 - TAPADO DE CRUCEROS,true,E53,TAPADO DE CRUCEROS,1.87,,0,0,0,
316,E54 - TAPADO MECANICO,true,E54,TAPADO MECANICO,1.87,,0,0,0,
317,E55 - TRANSPORTE DE ABONO,true,E55,TRANSPORTE DE ABONO,1.87,,0,0,0,
318,E56 - TRANSPORTE DE PERSONAL,true,E56,TRANSPORTE DE PERSONAL,1.87,,0,0,0,
319,E57 - TRASPORTE DE ARROZ,true,E57,TRASPORTE DE ARROZ,1.87,,0,0,0,
320,E58 - ACUMULAR MATERIAL,true,E58,ACUMULAR MATERIAL,1.87,,0,0,0,
321,E59 - LLENAR CAMIONES DE MATERIAL,true,E59,LLENAR CAMIONES DE MATERIAL,1.87,,0,0,0,
322,E60 - SERVICIOS GENERAL,true,E60,SERVICIOS GENERAL,1.87,,0,0,0,
323,E61 - TRANSPORTE DE CAL,true,E61,TRANSPORTE DE CAL,1.87,,0,0,0,
324,E62 - TRANSPORTE DE CEMENTO,true,E62,TRANSPORTE DE CEMENTO,1.87,,0,0,0,
325,E63 - TRANSPORTE DE FRUTAS,true,E63,TRANSPORTE DE FRUTAS,1.87,,0,0,0,
326,E64 - TRANSPORTE DE HORTALIZAS,true,E64,TRANSPORTE DE HORTALIZAS,1.87,,0,0,0,
327,E65 - TRANSPORTE DE MAIZ,true,E65,TRANSPORTE DE MAIZ,1.87,,0,0,0,
328,E67 - SERVICIO DE GRUA,true,E67,SERVICIO DE GRUA,1.87,,0,0,0,
329,E68 - TRANSPORTE DE MOTOBOMBAS,true,E68,TRANSPORTE DE MOTOBOMBAS,1.87,,0,0,0,
330,E69 - TRANSPORTE DE MUEBLES,true,E69,TRANSPORTE DE MUEBLES,1.87,,0,0,0,
331,E70 - TRANSPORTE DE PERS. POSADA,true,E70,TRANSPORTE DE PERS. POSADA,1.87,,0,0,0,
332,E71 - TRANSPORTE DE PERS. RUTA,true,E71,TRANSPORTE DE PERS. RUTA,1.87,,0,0,0,
333,E72 - TRANSPORTE DE PLATANO,true,E72,TRANSPORTE DE PLATANO,1.87,,0,0,0,
334,E73 - TRANSPORTE DE SEMILLA,true,E73,TRANSPORTE DE SEMILLA,1.87,,0,0,0,
335,E74 - TRANSPORTE DE TUBOS,true,E74,TRANSPORTE DE TUBOS,1.87,,0,0,0,
336,E75 - TRASIEGO DE ALCOHOL,true,E75,TRASIEGO DE ALCOHOL,1.87,,0,0,0,
337,E76 - TRASIEGO DE AZUCAR CRISTAL,true,E76,TRASIEGO DE AZUCAR CRISTAL,1.87,,0,0,0,
338,E77 - TRASIEGO DE AZUCAR MORENA,true,E77,TRASIEGO DE AZUCAR MORENA,1.87,,0,0,0,
339,E78 - TRASIEGO DE AZUCAR TURBINADA,true,E78,TRASIEGO DE AZUCAR TURBINADA,1.87,,0,0,0,
340,E79 - TRASIEGO DE CAÑA,true,E79,TRASIEGO DE CAÑA,1.87,,0,0,0,
341,E80 - TRASIEGO DE MELAZA,true,E80,TRASIEGO DE MELAZA,1.87,,0,0,0,
342,E81 - TRASIEGO DE SEMILLA,true,E81,TRASIEGO DE SEMILLA,1.87,,0,0,0,
343,E82 - TRASLADO DE EQUIPO,true,E82,TRASLADO DE EQUIPO,1.87,,0,0,0,
344,E83 - ACUMULAR AZUCAR EN BODEGA,true,E83,ACUMULAR AZUCAR EN BODEGA,1.87,,0,0,0,
345,E84 - ACARREO DE BAGACILLO,true,E84,ACARREO DE BAGACILLO,1.87,,0,0,0,
346,E85 - CORTE CAMINO Y CARRETERA,true,E85,CORTE CAMINO Y CARRETERA,1.87,,0,0,0,
347,"E91 - RIEGO DE CALLES, CAMINOS, PATI",true,E91,"RIEGO DE CALLES, CAMINOS, PATI",1.87,,0,0,0,
348,J001 - ASEO Y LIMPIEZA,true,J001,ASEO Y LIMPIEZA,1.87,,0,0,0,
349,J002 - LAVADO DE EQUIPO,true,J002,LAVADO DE EQUIPO,1.87,,0,0,0,
350,J049 - SEGURIDAD BOQUETE,true,J049,SEGURIDAD BOQUETE,1.87,,0,0,0,
351,J050 - VIGILANCIA DE FINCA,true,J050,VIGILANCIA DE FINCA,1.87,,0,0,0,
352,J069 - Otras Labores Campo,true,J069,Otras Labores Campo,1.87,,0,0,0,
353,J41 - PREVENCIÓN DE INCENDIO,true,J41,PREVENCIÓN DE INCENDIO,1.87,,0,0,0,
354,J50 - RECLUTAMIENTO AGRICOLA,true,J50,RECLUTAMIENTO AGRICOLA,1.87,,0,0,0,
355,J81 - OPERACION DE MOTOSIERRA,true,J81,OPERACION DE MOTOSIERRA,1.87,,0,0,0,
356,K001 - ASEO Y MANTENIMIENTO,true,K001,ASEO Y MANTENIMIENTO,1.87,,0,0,0,
357,K004 - CORTE DE CAÑA,true,K004,CORTE DE CAÑA,1.87,,0,0,0,
358,K005 - FUMIGACION AEREA POR HERBICIDA,true,K005,FUMIGACION AEREA POR HERBICIDA,1.87,,0,0,0,
359,K006 - FUMIGACION AEREA MADURANTE,true,K006,FUMIGACION AEREA MADURANTE,1.87,,0,0,0,
360,K009 - CHAPEO,true,K009,CHAPEO,1.87,,0,0,0,
361,K01 - ABONAMIENTO,true,K01,ABONAMIENTO,1.87,,0,0,0,
362,K010 - CAPATACES Y ASISTENTES,true,K010,CAPATACES Y ASISTENTES,1.87,,0,0,0,
363,K011 - CONTRUC. O MANT. DE CERCAS,true,K011,CONTRUC. O MANT. DE CERCAS,1.87,,0,0,0,
364,K012 - MUESTREO DE SUELO,true,K012,MUESTREO DE SUELO,1.87,,0,0,0,
365,K013 - CONTROL DE MALEZ Y FUMIGACION,true,K013,CONTROL DE MALEZ Y FUMIGACION,1.87,,0,0,0,
366,K014 - CONTROL DE PLAGAS,true,K014,CONTROL DE PLAGAS,1.87,,0,0,0,
367,K015 - CORTE DE SEMILLA,true,K015,CORTE DE SEMILLA,1.87,,0,0,0,
368,K016 - TRANSPORTE DE SEMILLA,true,K016,TRANSPORTE DE SEMILLA,1.87,,0,0,0,
369,K018 - RONDAS,true,K018,RONDAS,1.87,,0,0,0,
370,K02 - ACARREO DE AGUA PA FUMIGAR,true,K02,ACARREO DE AGUA PA FUMIGAR,1.87,,0,0,0,
371,K020 - DRENAJE,true,K020,DRENAJE,1.87,,0,0,0,
372,K021 - ENMIENDA DE SUELOS,true,K021,ENMIENDA DE SUELOS,1.87,,0,0,0,
373,K022 - FERTILIZACION 1,true,K022,FERTILIZACION 1,1.87,,0,0,0,
374,K023 - FERTILIZACION 2,true,K023,FERTILIZACION 2,1.87,,0,0,0,
375,K024 - FERTILIZACION 3,true,K024,FERTILIZACION 3,1.87,,0,0,0,
376,K025 - Prep. Bebidas Hidratantes,true,K025,Prep. Bebidas Hidratantes,1.87,,0,0,0,
377,K026 - HILANDO COGOLLOS,true,K026,HILANDO COGOLLOS,1.87,,0,0,0,
378,K028 - REQUEMA,true,K028,REQUEMA,1.87,,0,0,0,
379,K030 - RIEGO,true,K030,RIEGO,1.87,,0,0,0,
380,K031 - MUESTREO DE PRE-CORTE,true,K031,MUESTREO DE PRE-CORTE,1.87,,0,0,0,
381,K032 - MUESTREO DE PLAGAS,true,K032,MUESTREO DE PLAGAS,1.87,,0,0,0,
382,K033 - MUESTREO FOLIAR,true,K033,MUESTREO FOLIAR,1.87,,0,0,0,
383,K034 - OPERACION DE MOTOBOMBAS,true,K034,OPERACION DE MOTOBOMBAS,1.87,,0,0,0,
384,K035 - APLICACION DE CACHAZA,true,K035,APLICACION DE CACHAZA,1.87,,0,0,0,
385,K036 - PINERO,true,K036,PINERO,1.87,,0,0,0,
386,K037 - RECOJO Y REPICA DE CAÑA,true,K037,RECOJO Y REPICA DE CAÑA,1.87,,0,0,0,
387,K038 - RECOJO DE PIEDRAS,true,K038,RECOJO DE PIEDRAS,1.87,,0,0,0,
388,K039 - REFORESTACION,true,K039,REFORESTACION,1.87,,0,0,0,
389,K04 - TRATAMIENTO DE SEMILLA,true,K04,TRATAMIENTO DE SEMILLA,1.87,,0,0,0,
390,K040 - REPARTO DE AGUA A TRABAJADORES,true,K040,REPARTO DE AGUA A TRABAJADORES,1.87,,0,0,0,
391,K041 - RESIEMBRA,true,K041,RESIEMBRA,1.87,,0,0,0,
392,K043 - RIEGO DE ASPERSION,true,K043,RIEGO DE ASPERSION,1.87,,0,0,0,
393,K044 - RIEGO POR GRAVEDAD,true,K044,RIEGO POR GRAVEDAD,1.87,,0,0,0,
394,K046 - SERENO DE EQUIPO,true,K046,SERENO DE EQUIPO,1.87,,0,0,0,
395,K047 - SIEMBRA DE CAÑA,true,K047,SIEMBRA DE CAÑA,1.87,,0,0,0,
396,K048 - PAQUETE DE SEMILLA,true,K048,PAQUETE DE SEMILLA,1.87,,0,0,0,
397,K049 - TRANSPORTE DE TUBERIAS,true,K049,TRANSPORTE DE TUBERIAS,1.87,,0,0,0,
398,K050 - VIGILANCIA DE FINCAS,true,K050,VIGILANCIA DE FINCAS,1.87,,0,0,0,
399,K051 - LIBERACION DE COTESIAS,true,K051,LIBERACION DE COTESIAS,1.87,,0,0,0,
400,K052 - EVALUACION DE VARIEDADES,true,K052,EVALUACION DE VARIEDADES,1.87,,0,0,0,
401,K053 - MUESTREO DE BASURA,true,K053,MUESTREO DE BASURA,1.87,,0,0,0,
402,K055 - PLUVIOMETROS,true,K055,PLUVIOMETROS,1.87,,0,0,0,
403,K064 - DESPACHADORES,true,K064,DESPACHADORES,1.87,,0,0,0,
404,K069 - OTRAS LABORES,true,K069,OTRAS LABORES,1.87,,0,0,0,
405,K08 - TRANSPORTE DE CACHAZA,true,K08,TRANSPORTE DE CACHAZA,1.87,,0,0,0,
406,K09 - TRANSPORTE DE CAÑA,true,K09,TRANSPORTE DE CAÑA,1.87,,0,0,0,
407,K12 - TRANSPORTE DE TIERRA,true,K12,TRANSPORTE DE TIERRA,1.87,,0,0,0,
408,K13 - ALCE DE CAÑA,true,K13,ALCE DE CAÑA,1.87,,0,0,0,
409,K15 - ALCE DE BAGAZO,true,K15,ALCE DE BAGAZO,1.87,,0,0,0,
410,K16 - ALCE DE MATERIALES Y PIEZAS,true,K16,ALCE DE MATERIALES Y PIEZAS,1.87,,0,0,0,
411,K18 - APLICACION DE CACHAZA,true,K18,APLICACION DE CACHAZA,1.87,,0,0,0,
412,K20 - APORQUE,true,K20,APORQUE,1.87,,0,0,0,
413,K21 - ARADURA,true,K21,ARADURA,1.87,,0,0,0,
414,K22 - AUXILIO DE EQUIPO,true,K22,AUXILIO DE EQUIPO,1.87,,0,0,0,
415,K23 - ALCE Y DESCARGA DE CAÑA,true,K23,ALCE Y DESCARGA DE CAÑA,1.87,,0,0,0,
416,K24 - APLICACION DE ABONO,true,K24,APLICACION DE ABONO,1.87,,0,0,0,
417,K25 - BOTANDO BAGAZO,true,K25,BOTANDO BAGAZO,1.87,,0,0,0,
418,K26 - CALLES O RONDA,true,K26,CALLES O RONDA,1.87,,0,0,0,
419,K27 - CAMINOS TRANSITORIOS,true,K27,CAMINOS TRANSITORIOS,1.87,,0,0,0,
420,K28 - CHAPEO,true,K28,CHAPEO,1.87,,0,0,0,
421,K29 - CONTRUCCION DE CANALES,true,K29,CONTRUCCION DE CANALES,1.87,,0,0,0,
422,K30 - CONTRUCCION DE DIQUES,true,K30,CONTRUCCION DE DIQUES,1.87,,0,0,0,
423,K31 - CORTE MECANICO DE CAÑA,true,K31,CORTE MECANICO DE CAÑA,1.87,,0,0,0,
424,K32 - CORTE Y ALCE MECANICO,true,K32,CORTE Y ALCE MECANICO,1.87,,0,0,0,
425,K33 - DESMONTE,true,K33,DESMONTE,1.87,,0,0,0,
426,K34 - DESTRONQUE,true,K34,DESTRONQUE,1.87,,0,0,0,
427,K35 - DRENAJE,true,K35,DRENAJE,1.87,,0,0,0,
428,K36 - FUMIGACION,true,K36,FUMIGACION,1.87,,0,0,0,
429,K37 - NIVELACION,true,K37,NIVELACION,1.87,,0,0,0,
430,K38 - PARCELACION,true,K38,PARCELACION,1.87,,0,0,0,
431,K39 - RATRADURA,true,K39,RATRADURA,1.87,,0,0,0,
432,K43 - RELLENOS,true,K43,RELLENOS,1.87,,0,0,0,
433,K45 - REPARTO DE COMBUSTIBLE,true,K45,REPARTO DE COMBUSTIBLE,1.87,,0,0,0,
434,K48 - ROTURACION DE CEPA,true,K48,ROTURACION DE CEPA,1.87,,0,0,0,
435,K49 - SIEMBRA,true,K49,SIEMBRA,1.87,,0,0,0,
436,K50 - SIEMBRA SEMI-MECANICA,true,K50,SIEMBRA SEMI-MECANICA,1.87,,0,0,0,
437,K51 - SUBSOLADURA,true,K51,SUBSOLADURA,1.87,,0,0,0,
438,K52 - SURCADURA,true,K52,SURCADURA,1.87,,0,0,0,
439,K54 - TAPADO MECANICO,true,K54,TAPADO MECANICO,1.87,,0,0,0,
440,K55 - TRANSPORTE DE ABONO,true,K55,TRANSPORTE DE ABONO,1.87,,0,0,0,
441,K56 - TRANSPORTE DE PERSONAL,true,K56,TRANSPORTE DE PERSONAL,1.87,,0,0,0,
442,K58 - ACUMULAR MATERIAL,true,K58,ACUMULAR MATERIAL,1.87,,0,0,0,
443,K59 - LLENAR CAMIONES DE MATERIAL,true,K59,LLENAR CAMIONES DE MATERIAL,1.87,,0,0,0,
444,K61 - TRANSPORTE DE CAL,true,K61,TRANSPORTE DE CAL,1.87,,0,0,0,
445,K66 - TRANSPORTE DE MATERIA,true,K66,TRANSPORTE DE MATERIA,1.87,,0,0,0,
446,K67 - TRANSPORTE DE GRUA,true,K67,TRANSPORTE DE GRUA,1.87,,0,0,0,
447,K73 - TRANSPORTE DE SEMILLA,true,K73,TRANSPORTE DE SEMILLA,1.87,,0,0,0,
448,K79 - TRASIEGO DE CAÑA,true,K79,TRASIEGO DE CAÑA,1.87,,0,0,0,
449,K81 - OPERACION DE MOTOSIERRA,true,K81,OPERACION DE MOTOSIERRA,1.87,,0,0,0,
450,K82 - TRASLADO DE EQUIPO,true,K82,TRASLADO DE EQUIPO,1.87,,0,0,0,
451,N01 - ABONAMIENTO,true,N01,ABONAMIENTO,1.87,,0,0,0,
452,N02 - ACARREO DE AGUA PARA FUMIGAR,true,N02,ACARREO DE AGUA PARA FUMIGAR,1.87,,0,0,0,
453,N03 - TRANSPORTE DE PIEDRA,true,N03,TRANSPORTE DE PIEDRA,1.87,,0,0,0,
454,N04 - TRANSPORTE DE ARENA,true,N04,TRANSPORTE DE ARENA,1.87,,0,0,0,
455,N05 - TRANSPORTE DE LEÑA,true,N05,TRANSPORTE DE LEÑA,1.87,,0,0,0,
456,N06 - TRANSPORTE DE AZUCAR TURBINADO,true,N06,TRANSPORTE DE AZUCAR TURBINADO,1.87,,0,0,0,
457,N07 - TRANSPORTE DE AZUCAR CRUDO,true,N07,TRANSPORTE DE AZUCAR CRUDO,1.87,,0,0,0,
458,N08 - TRANSPORTE DE CACHAZA,true,N08,TRANSPORTE DE CACHAZA,1.87,,0,0,0,
459,N09 - BOTAR CAÑA,true,N09,BOTAR CAÑA,1.87,,0,0,0,
460,N10 - TRANSPORTE DE MELAZA,true,N10,TRANSPORTE DE MELAZA,1.87,,0,0,0,
461,N11 - TRANSPORTE DE RIPIO O GRABA,true,N11,TRANSPORTE DE RIPIO O GRABA,1.87,,0,0,0,
462,N12 - TRANSPORTE DE TIERRA,true,N12,TRANSPORTE DE TIERRA,1.87,,0,0,0,
463,N16 - ALCE MATERIALES Y PIEZAS,true,N16,ALCE MATERIALES Y PIEZAS,1.87,,0,0,0,
464,N22 - AUXILIO DE EQUIPO,true,N22,AUXILIO DE EQUIPO,1.87,,0,0,0,
465,N25 - TRANSPORTE DE BAGAZO,true,N25,TRANSPORTE DE BAGAZO,1.87,,0,0,0,
466,N27 - LLENAR CAMIONES DE MATERIAL,true,N27,LLENAR CAMIONES DE MATERIAL,2.68,,0,0,0,
467,N28 - CHAPEO MECANIZADO,true,N28,CHAPEO MECANIZADO,1.87,,0,0,0,
468,N29 - CONSTRUCCION DE CANALES,true,N29,CONSTRUCCION DE CANALES,1.87,,0,0,0,
469,N30 - CONSTRUCCION DE DIQUES O VADOS,true,N30,CONSTRUCCION DE DIQUES O VADOS,1.87,,0,0,0,
470,N31 - REPARACION DE CAMINOS CAÑEROS,true,N31,REPARACION DE CAMINOS CAÑEROS,1.87,,0,0,0,
471,N32 - REPARACION DE CAM TRANSITORIOS,true,N32,REPARACION DE CAM TRANSITORIOS,1.87,,0,0,0,
472,N43 - RELLENOS,true,N43,RELLENOS,1.87,,0,0,0,
473,N44 - RIEGO DE AGUA,true,N44,RIEGO DE AGUA,1.87,,0,0,0,
474,N45 - REPARTO DE COMBUSTIBLE,true,N45,REPARTO DE COMBUSTIBLE,1.87,,0,0,0,
475,N55 - TRANSPORTE DE ABONO,true,N55,TRANSPORTE DE ABONO,1.87,,0,0,0,
476,N56 - TRANSPORTE DE PERSONAL,true,N56,TRANSPORTE DE PERSONAL,1.87,,0,0,0,
477,N58 - ACUMULAR MATERIAL,true,N58,ACUMULAR MATERIAL,1.87,,0,0,0,
478,N61 - TRANSPORTE DE CAL,true,N61,TRANSPORTE DE CAL,1.87,,0,0,0,
479,N62 - TRANSPORTE DE CEMENTO,true,N62,TRANSPORTE DE CEMENTO,1.87,,0,0,0,
480,N67 - SERVICIO DE GRUA,true,N67,SERVICIO DE GRUA,1.87,,0,0,0,
481,N80 - ACUMULAR CASCARILLA,true,N80,ACUMULAR CASCARILLA,1.87,,0,0,0,
482,N81 - TRANSPORTE DE CASCARILLA,true,N81,TRANSPORTE DE CASCARILLA,1.87,,0,0,0,
