id,name,tipo_equipo,marca,model,serial_no,motor,note,placa,anio,localizacion,codigo_activo,tipo_activo
1,4-01-001,AMBULANCIA.,TOYOTA,LAND CRUISER,HJ45LV-KC,H-90694,REGULAR,830451,1981,,4-01-001,VEHICULOS-TRANSPORTE
2,4-01-003,MICROBUS,HYUNDAI,HI MINI BUS,KMJWA37HACU347759,D4BHB014367,BUENA,726463,2011,,4-01-003,VEHICULOS-TRANSPORTE
3,4-01-004,MICROBUS,SUZUKI,,S-003,S/N,BUENA,823969,,,4-01-004,VEHICULOS-TRANSPORTE
4,4-01-005,CAMIONETA,TOYOTA,LAND CRUISER,S-004,S/N,BUENA,375714,,,4-01-005,VEHICULOS-TRANSPORTE
5,4-02-036,ARCOS ELECTR.,,,S-005,S/N,,SP,,,4-02-036,VEHICULOS-TRANSPORTE
6,4-02-037,ARCOS ELECTR.,MILLER,BOB CAT 225D,S-006,DEUTZ 150,BUENA,SP,,,4-02-037,VEHICULOS-TRANSPORTE
7,4-02-038,ARCOS ELECTR.,,,S-007,GASOLINA,,SP,,,4-02-038,VEHICULOS-TRANSPORTE
8,4-02-039,ARCOS ELECTR.,,,S-008,GASOLINA,,SP,,,4-02-039,VEHICULOS-TRANSPORTE
9,4-02-040,ARCOS ELECTR.,,,S-009,ELECX,,SP,,,4-02-040,VEHICULOS-TRANSPORTE
10,4-02-041,ARCOS ELECTR.,,,S-010,ELEC,,SP,,,4-02-041,VEHICULOS-TRANSPORTE
11,4-02-042,ARCOS ELECTR.,,,S-011,GASOLINA,,SP,,,4-02-042,VEHICULOS-TRANSPORTE
12,4-03-007,CICLONA,MFC,,S-012,NO TIENE,BUENA,SP,,,4-03-007,VEHICULOS-TRANSPORTE
13,4-03-010,ABONADORA,,,S-013,NO TIENE,,SP,,,4-03-010,VEHICULOS-TRANSPORTE
14,4-03-011,ABONADORA,,,S-014,NO TIENE,,SP,,,4-03-011,VEHICULOS-TRANSPORTE
15,4-03-015,ABONADORA,,SACN L-T,0306-5099,NO TIENE,,SP,,,4-03-015,VEHICULOS-TRANSPORTE
16,4-03-017,ABONADORA,,,S-016,NO TIENE,,SP,,,4-03-017,VEHICULOS-TRANSPORTE
17,4-03-019,ABONADORA,,2010,SURCAAB008,NO TIENE,BUENA,SP,2007,,4-03-019,VEHICULOS-TRANSPORTE
18,4-03-020,ABONADORA,,,S-018,S/N,,SP,,,4-03-020,VEHICULOS-TRANSPORTE
19,4-03-021,ABONADORA,,,S-019,S/N,,SP,,,4-03-021,VEHICULOS-TRANSPORTE
20,4-03-022,ABONADORA,,,S-020,S/N,,SP,,,4-03-022,VEHICULOS-TRANSPORTE
21,4-03-023,ABONADORA,,,S-021,S/N,,SP,,,4-03-023,VEHICULOS-TRANSPORTE
22,4-03-025,ABONADORA,,,S-022,S/N,,SP,,,4-03-025,VEHICULOS-TRANSPORTE
23,4-03-026,ABONADORA,,,S-023,S/N,,SP,,,4-03-026,VEHICULOS-TRANSPORTE
24,4-04-014,MOTOBOMBA,RAIMBOW,9000,9711,S/N,BUENA,SP,,,4-04-014,VEHICULOS-TRANSPORTE
25,4-04-015,MOTOBOMBA,,,9709,S/N,BUENA,SP,,,4-04-015,VEHICULOS-TRANSPORTE
26,4-04-016,MOTOBOMBA,,,S-026,S/N,BUENA,SP,,,4-04-016,VEHICULOS-TRANSPORTE
27,4-04-017,MOTOBOMBA,,,S-027,S/N,BUENA,SP,,,4-04-017,VEHICULOS-TRANSPORTE
28,4-04-018,MOTOBOMBA,,,S-028,S/N,,SP,,,4-04-018,VEHICULOS-TRANSPORTE
29,4-04-019,MOTOBOMBA,,,S-029,S/N,,SP,,,4-04-019,VEHICULOS-TRANSPORTE
30,4-05-001,APLIC. CACHAZA,DRIA,,S-030,S/N,BUENA,SP,,,4-05-001,VEHICULOS-TRANSPORTE
31,4-05-002,APLIC. CACHAZA,,,S-031,S/N,,SP,,,4-05-002,VEHICULOS-TRANSPORTE
32,4-06-001,BOMBA FUMIG.,JACTO,AM 12,2001,S/N,BUENA,SP,,,4-06-001,VEHICULOS-TRANSPORTE
33,4-06-002,BOMBA FUMIG.,JACTO,AM-14,310490,S/N,,SP,,,4-06-002,VEHICULOS-TRANSPORTE
34,4-06-003,BOMBA FUMIG.,,,S-034,S/N,,SP,,,4-06-003,VEHICULOS-TRANSPORTE
35,4-06-004,BOMBA FUMIG.,,,S-035,S/N,,SP,,,4-06-004,VEHICULOS-TRANSPORTE
36,4-06-005,BOMBA FUMIG.,,,S-036,S/N,,SP,,,4-06-005,VEHICULOS-TRANSPORTE
37,4-06-006,BOMBA FUMIG.,,,S-037,S/N,,SP,,,4-06-006,VEHICULOS-TRANSPORTE
38,4-06-007,BOMBA FUMIG.,,,S-038,S/N,,SP,,,4-06-007,VEHICULOS-TRANSPORTE
39,4-08003,TANQUE AGUA/C. MOT,,,S-039,S/N,,SP,,,4-08003,VEHICULOS-TRANSPORTE
40,4-08-004,TANQUE AGUA/C. MOT,,,S-040,S/N,BUENA ,SP,,,4-08-004,VEHICULOS-TRANSPORTE
41,4-08-005,TANQUE AGUA/C. MOT,,,S-041,S/N,BUENA ,SP,,,4-08-005,VEHICULOS-TRANSPORTE
42,4-08-006,TANQUE AGUA/C. MOT,,,S-042,S/N,,SP,,,4-08-006,VEHICULOS-TRANSPORTE
43,4-08-007,TANQUE AGUA/C. MOT,,,S-043,S/N,,SP,,,4-08-007,VEHICULOS-TRANSPORTE
44,4-10-002,AUTOBUS,INTERNATIONAL,3800,HTBBAANISH215218,S/N,BUENA ,830710,1995,,4-10-002,VEHICULOS-TRANSPORTE
45,4-10-003,AUTOBUS,INTERNATIONAL,3800,HVBBAANASH682379,S/N,BUENA ,830709,1995,,4-10-003,VEHICULOS-TRANSPORTE
46,4-10-019,AUTOBUS,INTERNATIONAL,,3726538006C2920N,S/N,BUENA,830455,1981,,4-10-019,VEHICULOS-TRANSPORTE
47,4-10-021,AUTOBUS,INTERNATIONAL,,1HVLNGM1FH41847,S/N,BUENA,SP,1991,,4-10-021,VEHICULOS-TRANSPORTE
48,4-10-022,AUTOBUS,FORD,,1FDXB80C2TVAC2546,S/N,BUENA,830449,1996,,4-10-022,VEHICULOS-TRANSPORTE
49,4-11-001,COMPRESOR,LISTER,BS649,7278LT129-09,S/N,BUENA,SP,1976,,4-11-001,VEHICULOS-TRANSPORTE
50,4-11-004,COMPRESOR,WESTINGHOUSE,K238,1332069,S/N,BUENA,SP,1976,,4-11-004,VEHICULOS-TRANSPORTE
51,4-11-005,COMPRESOR,WISCONSIN,,5631694,S/N,BUENA,SP,1976,,4-11-005,VEHICULOS-TRANSPORTE
52,4-11-007,COMPRESOR,WISCONSIN,,5831373,S/N,BUENA,SP,1976,,4-11-007,VEHICULOS-TRANSPORTE
53,4-11-008,COMPRESOR,QUINCY,,323-15-U,S/N,BUENA,SP,1976,,4-11-008,VEHICULOS-TRANSPORTE
54,4-11-009,COMPRESOR,WISCONSIN,,5631696,S/N,BUENA,SP,1976,,4-11-009,VEHICULOS-TRANSPORTE
55,4-11-011,COMPRESOR,QUINCY,VT-3169-106,3251621164,S/N,BUENA,SP,1976,,4-11-011,VEHICULOS-TRANSPORTE
56,4-11-014,COMPRESOR,WISCONSIN,,15825,S/N,BUENA,SP,1976,,4-11-014,VEHICULOS-TRANSPORTE
57,4-15-402,PLANTA ENGR.,CAMECO,,S-057,S/N,BUENA,SP,1977,,4-15-402,VEHICULOS-TRANSPORTE
58,4-15-403,PLANTA ENGR.,CAMECO,,S-058,S/N,BUENA,SP,1977,,4-15-403,VEHICULOS-TRANSPORTE
59,4-15-404,PLANTA ENGR.,CAMECO,,S-059,S/N,BUENA,SP,1977,,4-15-404,VEHICULOS-TRANSPORTE
60,4-15-405,PLANTA ENGR.,CAMECO,,S-060,S/N,BUENA,SP,1976,,4-15-405,VEHICULOS-TRANSPORTE
61,4-15-406,PLANTA ENGR.,CAMECO,,S-061,S/N,BUENA,SP,1976,,4-15-406,VEHICULOS-TRANSPORTE
62,4-15-407,PLANTA ENGR.,CAMECO,,S-062,S/N,BUENA,SP,1976,,4-15-407,VEHICULOS-TRANSPORTE
63,4-15-408,PLANTA ENGR.,,,S-063,S/N,,SP,,,4-15-408,VEHICULOS-TRANSPORTE
64,4-16-001,BOB CAT,,,S-064,S/N,,SP,,,4-16-001,VEHICULOS-TRANSPORTE
65,4-16-002,PAY LAOADER,,,S-065,S/N,,SP,,,4-16-002,VEHICULOS-TRANSPORTE
66,4-16-003,PAY LAOADER,,,S-066,S/N,,SP,,,4-16-003,VEHICULOS-TRANSPORTE
67,4-16-004,PAY LAOADER,,,S-067,S/N,,SP,,,4-16-004,VEHICULOS-TRANSPORTE
68,4-16-005,CANE STACKER,,,S-068,S/N,,SP,,,4-16-005,VEHICULOS-TRANSPORTE
69,4-16-006,CANE STACKER,,,S-069,S/N,,SP,,,4-16-006,VEHICULOS-TRANSPORTE
70,4-16-007,BOB CAT,,,S-070,S/N,,SP,,,4-16-007,VEHICULOS-TRANSPORTE
71,4-16-009,PAY LAOADER,,,S-071,S/N,,SP,,,4-16-009,VEHICULOS-TRANSPORTE
72,4-16-010,CANE STACKER,,,S-072,S/N,,SP,,,4-16-010,VEHICULOS-TRANSPORTE
73,4-16-011,PAY LAOADER,,,S-073,S/N,,SP,,,4-16-011,VEHICULOS-TRANSPORTE
74,4-16-012,PAY LAOADER,,,S-074,S/N,,SP,,,4-16-012,VEHICULOS-TRANSPORTE
75,4-21-001,CORTADORA DE CAÑA,,,S-075,S/N,Chatarreada,SP,,,4-21-001,VEHICULOS-TRANSPORTE
76,4-21-002,CORTADORA DE CAÑA,,,S-076,S/N,Chatarreada,SP,,,4-21-002,VEHICULOS-TRANSPORTE
77,4-21-003,CORTADORA DE CAÑA,,,S-077,S/N,Chatarreada,SP,,,4-21-003,VEHICULOS-TRANSPORTE
78,4-21-004,CORTADORA DE CAÑA,,,S-078,S/N,Chatarreada,SP,,,4-21-004,VEHICULOS-TRANSPORTE
79,4-22-001,COSECHADORA COMBINADA.,CASE INTERNAT.,AUSTOFT 7700,6H9F79047W2EY4084,6HZ2670,Chatarreada,SP,1998,,4-22-001,VEHICULOS-TRANSPORTE
80,4-22-002,COSECHADORA COMBINADA.,CASE INTERNAT.,AUSTOFT 7700,6H9F79178X2EY4080,6HZ29508,Chatarreada,SP,1999,,4-22-002,VEHICULOS-TRANSPORTE
81,4-22-003,COSECHADORA COMBINADA.,CASE INTERNAT.,AUSTOFT 7700,6H9F79177X2EY4079,6HZ29510,Chatarreada,SP,1999,,4-22-003,VEHICULOS-TRANSPORTE
82,4-22-004,COSECHADORA COMBINADA.,CASE INTERNAT.,AUSTOFT 7700,S-082,S/N,Regular,SP,2008,,4-22-004,VEHICULOS-TRANSPORTE
83,4-22-005,COSECHADORA COMBINADA.,CASE INTERNAT.,AUSTOFT 7700,S-083,S/N,BUENA,SP,,,4-22-005,VEHICULOS-TRANSPORTE
84,4-22-006,COSECHADORA COMBINADA.,CASE INTERNAT.,,S-084,S/N,BUENA,SP,,,4-22-006,VEHICULOS-TRANSPORTE
85,4-22-007,COSECHADORA COMBINADA.,CASE INTERNAT.,,S-085,S/N,BUENA,SP,,,4-22-007,VEHICULOS-TRANSPORTE
86,4-22-008,COSECHADORA COMBINADA.,CASE INTERNAT.,,S-086,S/N,BUENA,SP,,,4-22-008,VEHICULOS-TRANSPORTE
87,4-22-009,COSECHADORA COMBINADA.,CASE INTERNAT.,,S-087,S/N,BUENA,SP,,,4-22-009,VEHICULOS-TRANSPORTE
88,4-22-010,COSECHADORA COMBINADA.,CASE INTERNAT.,,S-088,S/N,BUENA,SP,,,4-22-010,VEHICULOS-TRANSPORTE
89,4-22-011,COSECHADORA COMBINADA.,CASE INTERNAT.,,S-089,S/N,BUENA,SP,,,4-22-011,VEHICULOS-TRANSPORTE
90,4-22-012,COSECHADORA COMBINADA.,CASE INTERNAT.,,S-090,S/N,BUENA,SP,,,4-22-012,VEHICULOS-TRANSPORTE
91,4-22-013,COSECHADORA COMBINADA.,CASE INTERNAT.,,S-091,S/N,BUENA,SP,,,4-22-013,VEHICULOS-TRANSPORTE
92,4-24-007,CAMION V.,INTERNATIONAL,A15,S-092,467TM2U128767,REGULAR,830460,1980,,4-24-007,VEHICULOS-TRANSPORTE
93,4-27-064,PICK UP,ISUZU ,KB DIESEL,JAATFR54HV9102972,344635,BUENA,830434,1997,,4-27-064,VEHICULOS-TRANSPORTE
94,4-27-069,PICK UP,TOYOTA,HI LUX,JTFDE626400050768,3L5008205,BUENA,236607,2001,,4-27-069,VEHICULOS-TRANSPORTE
95,4-27-070,PICK UP,TOYOTA,HI LUX,JFTDE626500050763,3L5008991,BUENA,SP,2001,,4-27-070,VEHICULOS-TRANSPORTE
96,4-27-075,PICK UP,TOYOTA,HI LUX,314810062,IN1660031885,BUENA,804899,2000,,4-27-075,VEHICULOS-TRANSPORTE
97,4-27-076,PICK UP,TOYOTA,HI LUX,S-097,3L4356930,BUENA,363551,1998,,4-27-076,VEHICULOS-TRANSPORTE
98,4-27-078,PICK UP,ISUZU,KB TFR54H-00,JAATFR54HY7100190,641985,BUENA,365318,2000,,4-27-078,VEHICULOS-TRANSPORTE
99,4-27-081,PICK UP D/CAB.,TOYOTA,HI LUX,S-099,S/N,,847822,,,4-27-081,VEHICULOS-TRANSPORTE
100,4-27-083,PICK UP ,,,S-100,S/N,,772397,,,4-27-083,VEHICULOS-TRANSPORTE
101,4-27-085,PICK UP ,ISUZU,,S-101,S/N,BUENA,830741,2012,,4-27-085,VEHICULOS-TRANSPORTE
102,4-27-086,PICK UP ,ISUZU,,S-102,S/N,BUENA,830742,2012,,4-27-086,VEHICULOS-TRANSPORTE
103,4-27-087,PICK UP D/CAB.,ISUZU,,S-103,S/N,BUENA,830744,2012,,4-27-087,VEHICULOS-TRANSPORTE
104,4-27-088,PICK UP ,ISUZU,,S-104,S/N,BUENA,830743,2012,,4-27-088,VEHICULOS-TRANSPORTE
105,4-27-089,PICK UP ,,,S-105,S/N,,831958,,,4-27-089,VEHICULOS-TRANSPORTE
106,4-27-090,PICK UP ,,,S-106,S/N,,831957,,,4-27-090,VEHICULOS-TRANSPORTE
107,4-27-091,PICK UP ,,,S-107,S/N,,830757,,,4-27-091,VEHICULOS-TRANSPORTE
108,4-27-092,HATCHBACK,HYUNDAI,,S-108,S/N,BUENA,BC0569,,,4-27-092,VEHICULOS-TRANSPORTE
109,4-27-093,PICK UP ,,,S-109,S/N,,BB3106,,,4-27-093,VEHICULOS-TRANSPORTE
110,4-27-094,PICK UP ,,,S-110,S/N,,BA1013,,,4-27-094,VEHICULOS-TRANSPORTE
111,4-27-095,PICK UP ,ISUZU,,S-111,S/N,BUENA,BB3107,,,4-27-095,VEHICULOS-TRANSPORTE
112,4-27-096,PICK UP ,ISUZU,,S-112,S/N,BUENA,BB3108,,,4-27-096,VEHICULOS-TRANSPORTE
113,4-27-097,PICK UP ,,,S-113,S/N,,SP,,,4-27-097,VEHICULOS-TRANSPORTE
114,4-27-098,PICK UP ,,,S-114,S/N,,SP,,,4-27-098,VEHICULOS-TRANSPORTE
115,4-27-099,PICK UP ,,,S-115,S/N,,SP,,,4-27-099,VEHICULOS-TRANSPORTE
116,4-29-001,VAGONETA,FONTAINE,,S-116,S/N,BUENA,SP,1978,,4-29-001,VEHICULOS-TRANSPORTE
117,4-29-003,VAGONETA,FONTAINE,C1236,TFT65197,S/N,BUENA,SP,1981,,4-29-003,VEHICULOS-TRANSPORTE
118,4-29-004,VAGONETA,FRUEHAUF,,S-118,S/N,BUENA,SP,1977,,4-29-004,VEHICULOS-TRANSPORTE
119,4-29-009,VAGONETA,FRUEHAUF,,S-119,S/N,BUENA,SP,1981,,4-29-009,VEHICULOS-TRANSPORTE
120,4-30-060,SEMBRADORA,CASE INT.,,S-120,S/N,BUENA,SP,,,4-30-060,VEHICULOS-TRANSPORTE
121,4-31-001,GRAB LOADER,CAMECO,SP 1800,1446,S/N,REGULAR,SP,1977,,4-31-001,VEHICULOS-TRANSPORTE
122,4-31-002,GRAB LOADER,CAMECO,SP 1800,S-122,S/N,,SP,,,4-31-002,VEHICULOS-TRANSPORTE
123,4-31-003,GRAB LOADER,CAMECO,SP 1800,S-123,S/N,REGULAR,SP,1977,,4-31-003,VEHICULOS-TRANSPORTE
124,4-31-005,GRAB LOADER,CAMECO,SP 1800,1467,S/N,REGULAR,SP,1977,,4-31-005,VEHICULOS-TRANSPORTE
125,4-31-006,GRAB LOADER,CAMECO,SP 1800,S-125,S/N,REGULAR,SP,,,4-31-006,VEHICULOS-TRANSPORTE
126,4-31-011,GRAB LOADER,CAMECO,SP 1800,S-126,3304PC2175,REGULAR,SP,1983,,4-31-011,VEHICULOS-TRANSPORTE
127,4-31-012,GRAB LOADER,CAMECO,SP 1800,S-127,3304PC2176,REGULAR,SP,1983,,4-31-012,VEHICULOS-TRANSPORTE
128,4-32-001,GRUA ,NISSAN TADANO,UD,10E05484,S/N,REGULAR,830459,1975,,4-32-001,VEHICULOS-TRANSPORTE
129,4-32-002,GRUA ORUGA,LINK BELT,,S-129,S/N,REGULAR,830461,,,4-32-002,VEHICULOS-TRANSPORTE
130,4-32-003,GRUA ,TEREK,,S-130,S/N,,SP,,,4-32-003,VEHICULOS-TRANSPORTE
131,4-35-001,LIMPIADOR,,,S-131,S/N,BUENA ,SP,1977,,4-35-001,VEHICULOS-TRANSPORTE
132,4-35-002,CULTIVADOR,,,S-132,S/N,MALA,SP,1977,,4-35-002,VEHICULOS-TRANSPORTE
133,4-35-004,LIMPIADOR,,,S-133,S/N,BUENA ,SP,1977,,4-35-004,VEHICULOS-TRANSPORTE
134,4-35-005,LIMPIADOR,MGB,,S-134,S/N,BUENA ,SP,,,4-35-005,VEHICULOS-TRANSPORTE
135,4-35-006,LIMPIADOR,MGB,,S-135,S/N,BUENA ,SP,,,4-35-006,VEHICULOS-TRANSPORTE
136,4-35-007,LIMPIADOR,MGB,,S-136,S/N,BUENA ,SP,,,4-35-007,VEHICULOS-TRANSPORTE
137,4-36-001,CAMA BAJA,LOW BAY,,S-137,S/N,REGULAR,SP,1976,,4-36-001,VEHICULOS-TRANSPORTE
138,4-36-002,CAMA BAJA,BIRMINGHAN,,S-138,S/N,REGULAR,SP,1976,,4-36-002,VEHICULOS-TRANSPORTE
139,4-36-003,CAMA ALTA,CAMECO,,S-139,S/N,BUENA ,SP,1981,,4-36-003,VEHICULOS-TRANSPORTE
140,4-36-004,CAMA ALTA,BIRMINGHAN,,S-140,S/N,BUENA ,SP,1981,,4-36-004,VEHICULOS-TRANSPORTE
141,4-36-005,CAMA BAJA,PROPIA,S/N,S-141,S/N,BUENA ,SP,,,4-36-005,VEHICULOS-TRANSPORTE
142,4-37-001,MOTONIVELADORA,CATERPILLAR,,S-142,S/N,,SP,,,4-37-001,VEHICULOS-TRANSPORTE
143,4-37-002,MOTONIVELADORA,CATERPILLAR,2-CG,87V1849,78P29003,BUENA,SP,1976,,4-37-002,VEHICULOS-TRANSPORTE
144,4-39-004,RASTRA,TOWNER,,CW425CF,S/N,REGULAR,SP,1976,,4-39-004,VEHICULOS-TRANSPORTE
145,4-39-006,RASTRA,ROME,,BW225AF,S/N,REGULAR,SP,1976,,4-39-006,VEHICULOS-TRANSPORTE
146,4-39-008,RASTRA,ROME,,BTAN1733,S/N,REGULAR,SP,1976,,4-39-008,VEHICULOS-TRANSPORTE
147,4-39-011,RASTRA,,,12TWC-709,S/N,REGULAR,SP,1976,,4-39-011,VEHICULOS-TRANSPORTE
148,4-39-012,RASTRA,ROME,,8TAW-1723,S/N,REGULAR,SP,1976,,4-39-012,VEHICULOS-TRANSPORTE
149,4-39-013,RASTRA,BALDAN,CRSGL,2402030029,N/T,BUENA,SP,,,4-39-013,VEHICULOS-TRANSPORTE
150,4-39-014,RASTRA,,,S-150,S/N,,SP,,,4-39-014,VEHICULOS-TRANSPORTE
151,4-41-001,RETROEXCAVADORA,CATAERPILLAR,416 C,4ZN18130,9RM03107,BUENA,SP,2000,,4-41-001,VEHICULOS-TRANSPORTE
152,4-41-002,MINI CARGADOR,,,S-152,S/N,,SP,,,4-41-002,VEHICULOS-TRANSPORTE
153,4-41-003,PALA,,,S-153,S/N,,SP,,,4-41-003,VEHICULOS-TRANSPORTE
154,4-46-001,TRANSPORTADOR,PHILADELPHIA,SHL2,516027,-,REGULAR,SP,1977,,4-46-001,VEHICULOS-TRANSPORTE
155,4-46-002,TRANSPORTADOR,PHILADELPHIA,SHL2,506028,-,REGULAR,SP,1977,,4-46-002,VEHICULOS-TRANSPORTE
156,4-47-001,TRITURADORA,BEAST,,S-156,S/N,,SP,,,4-47-001,VEHICULOS-TRANSPORTE
